latitude,longitude,species,H5N1,H5N2,H7N2,H7N8,timestamp,provenance,new_timestamp
47.246534,7.583822,Eurasian Blue Tit,0,0,0,0,6.02.7121,Wild,6.02.2017
47.686283,9.520193,Eurasian Magpie,1,0,0,0,22.11.6341,Wild,22.11.2016
46.379402,10.362123,Eurasian Blue Tit,0,0,0,1,26.11.6344,Wild,26.11.2016
46.074132,6.380292,Duck,0,0,,,24.08.6442,Livestock,24.08.2016
47.058622,8.326586,Great Tit,,0,0,,11.05.6134,Wild,11.05.2016
47.78869,6.831144,Duck,1,0,0,0,14.06.7211,Livestock,14.06.2017
46.557708,9.774961,Chicken,,0,,,3.03.6952,Livestock,3.03.2016
46.451063,7.517661,Common Chaffinch,0,1,0,0,5.02.7285,Wild,5.02.2017
47.652653,9.626341,Chicken,0,,,,23.07.7051,Livestock,23.07.2017
46.796852,6.673779,Turkey,0,1,0,0,24.02.7110,Livestock,24.02.2017
47.678872,7.401067,Chicken,0,1,0,0,17.10.6878,Livestock,17.10.2016
46.077063,10.265254,European Robin,0,0,1,0,4.09.7058,Wild,4.09.2017
46.844032,10.13183,House Sparrow,0,0,0,,15.05.6652,Wild,15.05.2016
47.047064,6.154018,Chicken,0,0,1,0,6.10.6331,Livestock,6.10.2016
47.618607,7.454344,Goose,,0,,0,13.07.6389,Livestock,13.07.2016
45.908323,6.69455,Goose,,,0,0,26.11.6836,Livestock,26.11.2016
46.911332,7.797302,Chicken,0,0,0,,23.06.6984,Livestock,23.06.2016
47.38629,7.823433,Eurasian Magpie,0,0,0,1,12.01.6870,Wild,12.01.2016
47.229563,8.790656,Chicken,1,0,0,0,11.11.7129,Livestock,11.11.2017
45.927928,6.788628,Duck,0,0,0,1,12.12.6238,Livestock,12.12.2016
47.706183,8.283117,Chicken,,0,0,,26.09.7401,Livestock,26.09.2017
47.216815,7.915254,European Robin,0,1,0,0,22.07.6887,Wild,22.07.2016
47.200669,9.667805,House Sparrow,1,0,0,0,25.06.6587,Wild,25.06.2016
47.737999,7.394785,Turkey,1,0,0,0,28.09.6115,Livestock,28.09.2016
46.988614,7.901995,Chicken,0,0,,0,6.01.6421,Livestock,6.01.2016
46.599484,7.108109,Turkey,0,,,,6.05.6715,Livestock,6.05.2016
47.436392,8.760336,Chicken,1,0,0,0,16.01.6545,Livestock,16.01.2016
46.723582,8.668145,Great Tit,1,0,0,0,28.10.6090,Wild,28.10.2016
47.008244,7.731612,Great Tit,1,0,0,0,26.05.7432,Wild,26.05.2017
47.70444,8.281343,Chicken,0,0,1,0,17.12.7107,Livestock,17.12.2017
46.57324,9.393015,Turkey,0,0,0,1,27.03.6383,Livestock,27.03.2016
46.819013,8.142614,Goose,1,0,0,0,25.12.7090,Livestock,25.12.2017
47.568997,9.697221,Duck,0,0,0,1,10.05.7210,Livestock,10.05.2017
46.056225,8.905872,Common Chaffinch,0,0,1,0,2.12.7331,Wild,2.12.2017
46.088012,8.751911,Great Tit,0,0,0,1,22.07.6208,Wild,22.07.2016
46.486437,7.863667,Turkey,0,1,0,0,20.03.6098,Livestock,20.03.2016
46.570324,6.939653,Chicken,1,0,0,0,10.08.6128,Livestock,10.08.2016
